# Kubeez models — GET https://api.kubeez.com/v1/models
# Generated: 2026-03-28 09:54:18 +02:00

total_count: 111

model_id	model_type	display_name	provider	cost_per_generation
sora-2-pro-image-to-video-10s-standard	video	Sora 2 Pro Image-to-Video (10s Standard)	OpenAI	225.0
sora-2-pro-image-to-video-15s-hd	video	Sora 2 Pro Image-to-Video (15s HD)	OpenAI	790.0
sora-2-pro-image-to-video-15s-standard	video	Sora 2 Pro Image-to-Video (15s Standard)	OpenAI	390.0
sora-2-pro-storyboard-10s	video	Sora 2 Pro Storyboard 10s	OpenAI	245.0
sora-2-pro-storyboard-15s	video	Sora 2 Pro Storyboard 15s	OpenAI	390.0
sora-2-pro-storyboard-25s	video	Sora 2 Pro Storyboard 25s	OpenAI	445.0
sora-2-pro-text-to-video-10s-hd	video	Sora 2 Pro Text-to-Video (10s HD)	OpenAI	475.0
sora-2-pro-text-to-video-10s-standard	video	Sora 2 Pro Text-to-Video (10s Standard)	OpenAI	225.0
sora-2-pro-text-to-video-15s-hd	video	Sora 2 Pro Text-to-Video (15s HD)	OpenAI	790.0
sora-2-pro-text-to-video-15s-standard	video	Sora 2 Pro Text-to-Video (15s Standard)	OpenAI	390.0
sora-2-text-to-video-10s	video	Sora 2 Text-to-Video (10s)	OpenAI	75.0
sora-2-text-to-video-15s	video	Sora 2 Text-to-Video (15s)	OpenAI	85.0
veo3-1-fast-first-and-last-frames	video	Veo 3.1 Fast First-and-Last-Frames	Google	99.0
veo3-1-fast-reference-to-video	video	Veo 3.1 Fast Reference-to-Video	Google	99.0
veo3-1-fast-text-to-video	video	Veo 3.1 Fast Text-to-Video	Google	99.0
veo3-1-first-and-last-frames	video	Veo 3.1 Quality First-and-Last-Frames	Google	390.0
veo3-1-text-to-video	video	Veo 3.1 Quality Text-to-Video	Google	390.0
wan-2-5	video	Wan 2.5	Alibaba	155.0
wan-2-5-image-to-video-10s-1080p	video	Wan 2.5 Image-to-Video (10s 1080p)	Alibaba	310.0
wan-2-5-image-to-video-10s-720p	video	Wan 2.5 Image-to-Video (10s 720p)	Alibaba	186.0
wan-2-5-image-to-video-5s-1080p	video	Wan 2.5 Image-to-Video (5s 1080p)	Alibaba	155.0
wan-2-5-image-to-video-5s-720p	video	Wan 2.5 Image-to-Video (5s 720p)	Alibaba	93.0
wan-2-5-text-to-video-10s-1080p	video	Wan 2.5 Text-to-Video (10s 1080p)	Alibaba	310.0
wan-2-5-text-to-video-10s-720p	video	Wan 2.5 Text-to-Video (10s 720p)	Alibaba	186.0
wan-2-5-text-to-video-5s-1080p	video	Wan 2.5 Text-to-Video (5s 1080p)	Alibaba	155.0
wan-2-5-text-to-video-5s-720p	video	Wan 2.5 Text-to-Video (5s 720p)	Alibaba	93.0
